Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:01:52,Total de registros:6,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TPRAPO,NUAPO,NUMBER,,,"22,00","10,00","0,00",N,1,,,"11.575,00",C105,C3021506,"0,00","0,00","1,00",30/10/2025 05:30,"11.575,00",,,YES,NO,"5,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRAPO,IDIATV,NUMBER,,,"22,00","10,00","0,00",N,2,,,"11.461,00",C103,C3023927,"0,00","0,00","1,00",30/10/2025 05:30,"11.575,00",,,YES,NO,"5,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRAPO,DHAPO,DATE,,,"7,00",,,Y,3,,,"11.573,00",787A04040F3428,787D0A0F130429,"0,00","0,00","1,00",30/10/2025 05:30,"11.575,00",,,YES,NO,"8,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TPRAPO,CODUSU,NUMBER,,,"22,00","5,00","0,00",N,4,,,"5,00",80,C142,"0,00","0,00","5,00",30/10/2025 05:30,"11.575,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TPRAPO,OBSERVACAO,VARCHAR2,,,"500,00",,,Y,5,,,"0,00",,,"0,00","11.575,00","0,00",30/10/2025 05:30,,CHAR_CS,500,YES,NO,"0,00","500,00",B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SATISTST,TPRAPO,SITUACAO,VARCHAR2,,,"1,00",,,N,6,"4,00",'P',"2,00",43,50,"0,00","0,00","2,00",30/10/2025 05:30,"11.575,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
,,,,,,"574,00","25,00","0,00",,,"4,00",,"34.616,00",,,"0,00","11.575,00","10,00",,"57.875,00",,,,,"23,00","501,00",,,,,,,,,,
