Resultado da Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissão:30/10/2025 20:09:44,Total de registros:227,Usuário: 0 - SUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_TYPE_MOD,DATA_TYPE_OWNER,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,COLUMN_ID,DEFAULT_LENGTH,DATA_DEFAULT,NUM_DISTINCT,LOW_VALUE,HIGH_VALUE,DENSITY,NUM_NULLS,NUM_BUCKETS,LAST_ANALYZED,SAMPLE_SIZE,CHARACTER_SET_NAME,CHAR_COL_DECL_LENGTH,GLOBAL_STATS,USER_STATS,AVG_COL_LEN,CHAR_LENGTH,CHAR_USED,V80_FMT_IMAGE,DATA_UPGRADED,HISTOGRAM,DEFAULT_ON_NULL,IDENTITY_COLUMN,EVALUATION_EDITION,UNUSABLE_BEFORE,UNUSABLE_BEGINNING,COLLATION
SATISTST,TGFITE,VLRDESC,FLOAT,,,"22,00","126,00",,N,20,"2,00",0,"7.819,00",3E0F1E66,C33341,"0,00","0,00","254,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"3,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFITE,BASESUBSTIT,FLOAT,,,"22,00","126,00",,N,21,"2,00",0,"7,00",80,C3022633,"0,00","0,00","7,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,VLRSUBST,FLOAT,,,"22,00","126,00",,N,22,"2,00",0,"7,00",80,C21133,"0,00","0,00","7,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,ALIQICMS,FLOAT,,,"22,00","126,00",,Y,23,,,"17,00",80,C120,"0,00","950,00","17,00",30/10/2025 05:24,"31.131,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,ALIQIPI,FLOAT,,,"22,00","126,00",,Y,24,,,"5,00",80,C10A4C,"0,00","680,00","5,00",30/10/2025 05:24,"31.158,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,PENDENTE,VARCHAR2,,,"1,00",,,N,25,"4,00",'S',"2,00",4E,53,"0,00","0,00","2,00",30/10/2025 05:24,"31.226,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,CODVOL,VARCHAR2,,,"2,00",,,N,26,"4,00",'0',"10,00",4358,554E,"0,00","0,00","10,00",30/10/2025 05:24,"31.226,00",CHAR_CS,2,YES,NO,"3,00","2,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,CODTRIB,NUMBER,,,"22,00","5,00","0,00",Y,27,,,"10,00",80,C15B,"0,00","3.800,00","10,00",30/10/2025 05:24,"30.846,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,ATUALESTOQUE,NUMBER,,,"22,00","5,00","0,00",N,28,"3,00",-1,"3,00",3E6466,C102,"0,00","0,00","3,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,OBSERVACAO,VARCHAR2,,,"4.000,00",,,Y,29,,,"524,00",20,7C4C4F54453A2032353031323130353132205154443A2034302C30303030205343204641425249434143414F3A2032312F30312F323032352056414C49444144,"0,00","295.160,00","1,00",30/10/2025 05:24,"1.848,00",CHAR_CS,4000,YES,NO,"3,00","4.000,00",B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,RESERVA,VARCHAR2,,,"1,00",,,N,30,"4,00",'N',"2,00",4E,53,"0,00","0,00","2,00",30/10/2025 05:24,"31.226,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,STATUSNOTA,VARCHAR2,,,"1,00",,,N,31,"4,00",'P',"3,00",41,50,"0,00","0,00","3,00",30/10/2025 05:24,"31.226,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,CODOBSPADRAO,NUMBER,,,"22,00","5,00","0,00",Y,32,,,"28,00",C102,C125,"0,00","186.660,00","28,00",30/10/2025 05:24,"12.560,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,CODVEND,NUMBER,,,"22,00","5,00","0,00",N,33,"2,00",0,"9,00",80,C20239,"0,00","0,00","9,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,CODEXEC,NUMBER,,,"22,00","5,00","0,00",N,34,"2,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,FATURAR,VARCHAR2,,,"1,00",,,N,35,"4,00",'S',"3,00",46,53,"0,00","0,00","3,00",30/10/2025 05:24,"31.226,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,VLRREPRED,FLOAT,,,"22,00","126,00",,N,36,"2,00",0,"6.519,00",80,C30757110F5D02484E3D,"0,00","0,00","254,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"3,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFITE,VLRDESCBONIF,FLOAT,,,"22,00","126,00",,N,37,"2,00",0,"2,00",80,C102,"0,00","0,00","2,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,PERCDESC,FLOAT,,,"22,00","126,00",,N,38,"2,00",0,"6.205,00",3E5D1C66,C202,"0,00","0,00","254,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"6,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFITE,M3,FLOAT,,,"22,00","126,00",,Y,39,,,"1,00",80,80,"0,00","108.880,00","1,00",30/10/2025 05:24,"20.338,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,ALIQICMSRED,FLOAT,,,"22,00","126,00",,Y,40,"1,00",0,"37,00",80,C120,"0,00","40,00","37,00",30/10/2025 05:24,"31.222,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,CODPARCEXEC,NUMBER,,,"22,00","10,00","0,00",Y,41,"1,00",0,"1,00",80,80,"0,00","0,00","1,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,CUSTO,FLOAT,,,"22,00","126,00",,Y,42,,,"5.520,00",80,C30729,"0,00","75.260,00","254,00",30/10/2025 05:24,"23.700,00",,,YES,NO,"4,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFITE,BASESUBSTSEMRED,FLOAT,,,"22,00","126,00",,Y,43,"1,00",0,"3,00",80,C2040A1F,"0,00","0,00","3,00",30/10/2025 05:24,"31.226,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,CODUSU,NUMBER,,,"22,00","5,00","0,00",Y,44,,,"73,00",80,C20216,"0,00","790,00","73,00",30/10/2025 05:24,"31.147,00",,,YES,NO,"3,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,DTALTER,DATE,,,"7,00",,,Y,45,,,"88.399,00",787A040112310F,787D0A16112C3C,"0,00","790,00","1,00",30/10/2025 05:24,"31.147,00",,,YES,NO,"8,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,SOLCOMPRA,VARCHAR2,,,"1,00",,,Y,46,,,"1,00",4E,4E,"0,00","39.930,00","1,00",30/10/2025 05:24,"27.233,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,CODTRIBISS,NUMBER,,,"22,00","5,00","0,00",Y,47,,,"1,00",C108,C108,"0,00","278.740,00","1,00",30/10/2025 05:24,"3.352,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,CODCFPS,NUMBER,,,"22,00","10,00","0,00",Y,48,,,"1,00",80,80,"0,00","278.740,00","1,00",30/10/2025 05:24,"3.352,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,ALIQISS,FLOAT,,,"22,00","126,00",,Y,49,,,"1,00",80,80,"0,00","279.050,00","1,00",30/10/2025 05:24,"3.321,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,QTDFORMULA,FLOAT,,,"22,00","126,00",,Y,50,,,"1.050,00",C004,C23915,"0,00","258.400,00","254,00",30/10/2025 05:24,"5.386,00",,,YES,NO,"2,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFITE,ATUALESTTERC,VARCHAR2,,,"1,00",,,Y,51,,,"2,00",4E,50,"0,00","27.960,00","2,00",30/10/2025 05:24,"28.430,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,PERCDESCBONIF,FLOAT,,,"22,00","126,00",,Y,52,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,TERCEIROS,VARCHAR2,,,"1,00",,,Y,53,,,"2,00",4E,53,"0,00","86.100,00","2,00",30/10/2025 05:24,"22.616,00",CHAR_CS,1,YES,NO,"2,00","1,00",B,NO,YES,FREQUENCY,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,ENDIMAGEM,VARCHAR2,,,"100,00",,,Y,54,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,CHAR_CS,100,YES,NO,"0,00","100,00",B,NO,YES,NONE,NO,NO,,,,USING_NLS_COMP
SATISTST,TGFITE,ALTURA,FLOAT,,,"22,00","126,00",,Y,55,,,"1,00",80,80,"0,00","30.780,00","1,00",30/10/2025 05:24,"28.148,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,LARGURA,FLOAT,,,"22,00","126,00",,Y,56,,,"1,00",80,80,"0,00","30.780,00","1,00",30/10/2025 05:24,"28.148,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,ESPESSURA,FLOAT,,,"22,00","126,00",,Y,57,,,"1,00",80,80,"0,00","30.780,00","1,00",30/10/2025 05:24,"28.148,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,CODCAV,NUMBER,,,"22,00","10,00","0,00",Y,58,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,CODPROC,NUMBER,,,"22,00","10,00","0,00",Y,59,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,QTDPECA,FLOAT,,,"22,00","126,00",,Y,60,,,"0,00",,,"0,00","313.640,00","0,00",30/10/2025 05:24,,,,YES,NO,"0,00","0,00",,NO,YES,NONE,NO,NO,,,,
SATISTST,TGFITE,PRECOBASE,FLOAT,,,"22,00","126,00",,Y,61,,,"5.163,00",80,C33733,"0,00","169.500,00","254,00",30/10/2025 05:24,"14.276,00",,,YES,NO,"3,00","0,00",,NO,YES,HEIGHT BALANCED,NO,NO,,,,
SATISTST,TGFITE,VLRACRESCDESC,FLOAT,,,"22,00","126,00",,Y,62,,,"1,00",80,80,"0,00","44.440,00","1,00",30/10/2025 05:24,"26.782,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,VLRRETENCAO,FLOAT,,,"22,00","126,00",,Y,63,,,"1,00",80,80,"0,00","44.440,00","1,00",30/10/2025 05:24,"26.782,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
SATISTST,TGFITE,CSTIPI,NUMBER,,,"22,00","5,00","0,00",Y,64,,,"8,00",3E6466,C164,"0,00","242.460,00","8,00",30/10/2025 05:24,"6.980,00",,,YES,NO,"2,00","0,00",,NO,YES,FREQUENCY,NO,NO,,,,
