tipo;ticker;data;quantidade;preco_unitario;observacao
Compra;CMIN3;19/11/2025;2658;0,078;
Compra;CMIN3;19/11/2025;2658;0,088;
Compra;CMIN3;15/07/2025;2058;0,039;
Compra;CMIN3;15/07/2025;2258;0,039;
Compra;CMIN3;15/07/2025;2258;0,201;
Compra;CMIN3;30/12/2024;1757;0,437;
Compra;CMIN3;30/12/2024;1757;0,029;
Compra;CMIN3;30/12/2024;1757;0,086;
Compra;CMIN3;28/05/2024;590;0,079;
Compra;CMIN3;28/05/2024;1224;0,187;
Compra;CMIN3;28/11/2023;590;0,249;
