CODPROD,DESCRPROD,AD_PERFIL,AD_MATERIAL,QTDE_M,AD_PESO_UNITARIO,QTDNEG,QTDPEDIDO,QTDNOTA,SALDO
50,PORCA SEXT UNC A194 2H 3/4 GF,,,,,,500,500,
54,PORCA SX UNC A194 2H 1 CH 1.5/8 GF,,,,,,400,400,
34,PARAF SEXT A325 UNC 7/8 X 2.1/2 GF,,,,,,50,50,
35,PARAF SEXT A325 UNC 7/8 X 2.3/4 GF,,,,,,50,50,
474,JALECO M VERMELHO,,,,,,,,
850,RUFOS E CONTRA RUFOS PRÉ-PINTADOS,,,,,,,,
846,LAJE STEEL DECK,,,,,,,,
813,VENTILADOR 30CM 110V,,,,,,,1,
966,FECHAMENTO EM TELHAS TÉRMICAS PRÉ-PINT,,,,,,,,
1465,"U 100X40X6.000MM #2,25MM CIVIL300",,,,,,358,357,
1756,"ALETA POLICARBONATO P/ VENEZIANAS BR LEITOSO 5,0MM",,,,,,870,870,
48,PORCA SEXT UNC A194 2H 5/8 GF,,,,,,500,500,
25,PARAF SEXT A325 UNC 3/4 X 2 GF,,,,,,100,100,
27,PARAF SEXT A325 UNC 3/4 X 2.1/2 GF,,,,,,,,
64,ARRUELA LISA F436 1 GF,,,,,,400,400,
135,"W310X38,7X12.000mm ASTM A572 G50",W310X38.7,A572-GR.50,575.5038759689922,38.70,,11136,11136,
320,LUVA RASPA 7 CM,,,,,,,,
366,ALICATE UNIVERSAL 8,,,,,,,,
849,ESTRUTURA DE FECHAMENTO,,,,,,,,
829,ESTRUTURA DE COBERTURA,,,,,,,,
974,"TELHA TP 40/980 0,50MM AZ/BR RAL5010",,,,,,55.7,,
1393,OUTROS SERVICOS TERCEIROS,,,,,,,68,
2011,TELA GALV ONDULADA MALHA 20X20MM FIO 14,,,,,,228.08,228.08,
