PARCEIRO;CODPARC;NUMNOTA;NUNOTA;DTNEG;VLRTOT;VLRUNIT;AD_CONTRATO;QTDNEG;TOTAL;DESCRPROD;EMPRESA
145 - TRANSPANORAMA TRANSPORTES S.A.;145;57826;302;27/07/2023 00:00;7.657,60;7.657,60;;1,00;7.657,60;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
7 - POSTOS ALPA LTDA;7;91905;411;01/08/2023 00:00;203,90;5,99;;34,00;203,90;COMBUSTIVEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4335;444;01/08/2023 00:00;4.536,00;4.536,00;;1,00;4.536,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4342;451;01/08/2023 00:00;2.550,00;2.550,00;;1,00;2.550,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4339;448;01/08/2023 00:00;7.227,00;7.227,00;;1,00;7.227,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4346;461;01/08/2023 00:00;1.350,00;1.350,00;;1,00;1.350,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4340;449;01/08/2023 00:00;2.550,00;2.550,00;;1,00;2.550,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4334;439;01/08/2023 00:00;1.575,00;1.575,00;;1,00;1.575,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4348;480;01/08/2023 00:00;450,00;450,00;;1,00;450,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4333;443;01/08/2023 00:00;4.834,50;4.834,50;;1,00;4.834,50;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4344;453;01/08/2023 00:00;1.650,00;1.650,00;;1,00;1.650,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4343;452;01/08/2023 00:00;5.577,00;5.577,00;;1,00;5.577,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4347;479;01/08/2023 00:00;4.672,50;4.672,50;;1,00;4.672,50;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4341;450;01/08/2023 00:00;4.926,00;4.926,00;;1,00;4.926,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4338;447;01/08/2023 00:00;1.260,00;1.260,00;;1,00;1.260,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4337;446;01/08/2023 00:00;6.770,40;6.770,40;;1,00;6.770,40;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4336;445;01/08/2023 00:00;1.960,00;1.960,00;;1,00;1.960,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4345;454;01/08/2023 00:00;7.323,00;7.323,00;;1,00;7.323,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
104 - HELGA FRANCA DE PAIVA;104;39907833;257;01/08/2023 00:00;59.101,65;1,35;;43.779,00;59.101,65;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
142 - COOPDIESEL-COOPERATIVA DE PESSOAS TRANSPORTES EM GERAL;142;29323;1248;01/08/2023 00:00;6.155,20;6.155,20;;1,00;6.155,20;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
184 - ORTOVEL VEICULOS E PECAS LTDA;184;219751;281;01/08/2023 00:00;666,72;666,72;;1,00;2.831,00;PRODUTO CONSUMO TRIBUTADO INTEG.;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
184 - ORTOVEL VEICULOS E PECAS LTDA;184;219751;281;01/08/2023 00:00;166,74;166,74;;1,00;2.831,00;PRODUTO CONSUMO TRIBUTADO INTEG.;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
184 - ORTOVEL VEICULOS E PECAS LTDA;184;219751;281;01/08/2023 00:00;1.304,90;1.304,90;;1,00;2.831,00;PRODUTO CONSUMO TRIBUTADO INTEG.;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
184 - ORTOVEL VEICULOS E PECAS LTDA;184;219751;281;01/08/2023 00:00;690,31;690,31;;1,00;2.831,00;PRODUTO CONSUMO TRIBUTADO INTEG.;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
184 - ORTOVEL VEICULOS E PECAS LTDA;184;219751;281;01/08/2023 00:00;751,76;751,76;;1,00;2.831,00;PRODUTO CONSUMO TRIBUTADO INTEG.;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3667;221;01/08/2023 00:00;50.011,00;1,30;;38.470,00;50.011,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3677;271;01/08/2023 00:00;92.204,00;1,40;;65.860,00;92.204,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3676;260;01/08/2023 00:00;47.810,00;1,40;;34.150,00;47.810,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3674;251;01/08/2023 00:00;91.252,00;1,40;;65.180,00;91.252,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3672;234;01/08/2023 00:00;64.792,00;1,30;;49.840,00;64.792,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
223 - EURIPEDES BENTO DOS REIS;223;39903293;240;01/08/2023 00:00;24.432,00;1,20;;20.360,00;24.432,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
223 - EURIPEDES BENTO DOS REIS;223;39901773;233;01/08/2023 00:00;17.280,00;1,20;;14.400,00;17.280,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
223 - EURIPEDES BENTO DOS REIS;223;39903193;239;01/08/2023 00:00;44.400,00;1,20;;37.000,00;44.400,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
223 - EURIPEDES BENTO DOS REIS;223;39901700;232;01/08/2023 00:00;38.400,00;1,20;;32.000,00;38.400,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4373;559;02/08/2023 00:00;5.557,50;5.557,50;;1,00;5.557,50;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4362;545;02/08/2023 00:00;2.100,00;2.100,00;;1,00;2.100,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4363;546;02/08/2023 00:00;7.329,00;7.329,00;;1,00;7.329,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4352;535;02/08/2023 00:00;1.260,00;1.260,00;;1,00;1.260,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4354;537;02/08/2023 00:00;1.650,00;1.650,00;;1,00;1.650,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4371;557;02/08/2023 00:00;5.637,00;5.637,00;;1,00;5.637,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4361;544;02/08/2023 00:00;486,00;486,00;;1,00;486,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4364;547;02/08/2023 00:00;2.550,00;2.550,00;;1,00;2.550,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4358;541;02/08/2023 00:00;1.200,00;1.200,00;;1,00;1.200,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4349;532;02/08/2023 00:00;7.329,00;7.329,00;;1,00;7.329,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4374;560;02/08/2023 00:00;1.950,00;1.950,00;;1,00;1.950,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4366;549;02/08/2023 00:00;2.400,00;2.400,00;;1,00;2.400,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4367;550;02/08/2023 00:00;4.842,00;4.842,00;;1,00;4.842,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4368;551;02/08/2023 00:00;2.325,20;2.325,20;;1,00;2.325,20;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4357;540;02/08/2023 00:00;4.502,40;4.502,40;;1,00;4.502,40;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4365;548;02/08/2023 00:00;4.827,00;4.827,00;;1,00;4.827,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4370;553;02/08/2023 00:00;1.650,00;1.650,00;;1,00;1.650,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4350;533;02/08/2023 00:00;2.550,00;2.550,00;;1,00;2.550,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4356;539;02/08/2023 00:00;1.950,00;1.950,00;;1,00;1.950,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4359;542;02/08/2023 00:00;5.604,00;5.604,00;;1,00;5.604,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4360;543;02/08/2023 00:00;3.000,00;3.000,00;;1,00;3.000,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4355;538;02/08/2023 00:00;7.323,00;7.323,00;;1,00;7.323,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4353;536;02/08/2023 00:00;7.278,00;7.278,00;;1,00;7.278,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4351;534;02/08/2023 00:00;7.305,00;7.305,00;;1,00;7.305,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4372;558;02/08/2023 00:00;1.650,00;1.650,00;;1,00;1.650,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4369;552;02/08/2023 00:00;5.784,00;5.784,00;;1,00;5.784,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
28 - AUTO POSTO SAO DOMINGOS LTDA;28;18150;413;02/08/2023 00:00;74,00;74,00;;1,00;10.097,01;COMBUSTIVEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
28 - AUTO POSTO SAO DOMINGOS LTDA;28;18150;413;02/08/2023 00:00;1.060,18;6,19;;171,27;10.097,01;COMBUSTIVEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
28 - AUTO POSTO SAO DOMINGOS LTDA;28;18150;413;02/08/2023 00:00;5.159,02;5,16;;999,81;10.097,01;COMBUSTIVEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
28 - AUTO POSTO SAO DOMINGOS LTDA;28;18150;413;02/08/2023 00:00;139,00;139,00;;1,00;10.097,01;COMBUSTIVEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
28 - AUTO POSTO SAO DOMINGOS LTDA;28;18150;413;02/08/2023 00:00;3.351,41;6,29;;532,82;10.097,01;COMBUSTIVEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
28 - AUTO POSTO SAO DOMINGOS LTDA;28;18150;413;02/08/2023 00:00;1.075,27;5,24;;205,20;10.097,01;COMBUSTIVEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
37 - AUTO POSTO SAO DOMINGOS LTDA;37;20732;403;02/08/2023 00:00;406,26;6,19;;65,63;957,51;COMBUSTIVEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
37 - AUTO POSTO SAO DOMINGOS LTDA;37;20732;403;02/08/2023 00:00;621,26;5,24;;118,56;957,51;COMBUSTIVEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
86 - GIMISSON JOSE RIBEIRO;86;911;292;02/08/2023 00:00;74.184,00;1,20;;61.820,00;74.184,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
130 - CLAUDIO MARQUES BRAGA DE ARAUJO;130;39927703;298;02/08/2023 00:00;50.200,00;1,25;;40.160,00;50.200,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3681;312;02/08/2023 00:00;67.452,00;1,40;;48.180,00;67.452,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3688;347;02/08/2023 00:00;70.070,00;1,40;;50.050,00;70.070,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3686;321;02/08/2023 00:00;66.892,00;1,40;;47.780,00;66.892,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3685;320;02/08/2023 00:00;69.524,00;1,40;;49.660,00;69.524,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3687;334;02/08/2023 00:00;68.012,00;1,40;;48.580,00;68.012,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3678;282;02/08/2023 00:00;80.780,00;1,40;;57.700,00;80.780,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
210 - SANKHYA JIVA TECNOLOGIA E INOVACAO LTDA;210;279442;301;02/08/2023 00:00;3.459,78;3.459,78;;1,00;3.459,78;SUPORTE TECNICO;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
227 - PANSERVICE TRANSPORTES E LOCACAO LTDA;227;2480977;279;02/08/2023 00:00;53,79;53,79;;1,00;53,79;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
228 - MARCOS MAKOTO YAMASHITA;228;39904541;285;02/08/2023 00:00;65.798,40;1,38;;47.680,00;65.798,40;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
228 - MARCOS MAKOTO YAMASHITA;228;39922579;286;02/08/2023 00:00;16.339,20;1,38;;11.840,00;16.339,20;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
229 - BRUNO EDUARDO FERREIRA QUINTINO 10103658602;229;202340;317;02/08/2023 00:00;2.500,00;2.500,00;;1,00;2.500,00;SERVIÇO TOMADOS;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4380;566;03/08/2023 00:00;450,00;450,00;;1,00;450,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4378;564;03/08/2023 00:00;750,00;750,00;;1,00;750,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4379;565;03/08/2023 00:00;5.631,00;5.631,00;;1,00;5.631,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4377;563;03/08/2023 00:00;5.421,00;5.421,00;;1,00;5.421,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4376;562;03/08/2023 00:00;3.000,00;3.000,00;;1,00;3.000,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4375;561;03/08/2023 00:00;4.818,00;4.818,00;;1,00;4.818,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4385;571;03/08/2023 00:00;7.314,00;7.314,00;;1,00;7.314,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4386;572;03/08/2023 00:00;2.250,00;2.250,00;;1,00;2.250,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4384;570;03/08/2023 00:00;1.960,00;1.960,00;;1,00;1.960,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4383;569;03/08/2023 00:00;4.496,80;4.496,80;;1,00;4.496,80;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4382;568;03/08/2023 00:00;900,00;900,00;;1,00;900,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4381;567;03/08/2023 00:00;4.857,00;4.857,00;;1,00;4.857,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
86 - GIMISSON JOSE RIBEIRO;86;912;363;03/08/2023 00:00;62.544,00;1,20;;52.120,00;62.544,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
145 - TRANSPANORAMA TRANSPORTES S.A.;145;58628;1079;03/08/2023 00:00;5.550,00;5.550,00;;1,00;5.550,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
145 - TRANSPANORAMA TRANSPORTES S.A.;145;58661;1081;03/08/2023 00:00;4.773,00;4.773,00;;1,00;4.773,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
145 - TRANSPANORAMA TRANSPORTES S.A.;145;58631;1080;03/08/2023 00:00;600,00;600,00;;1,00;600,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
145 - TRANSPANORAMA TRANSPORTES S.A.;145;58662;1082;03/08/2023 00:00;450,00;450,00;;1,00;450,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3696;375;03/08/2023 00:00;57.596,00;1,40;;41.140,00;57.596,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3699;390;03/08/2023 00:00;53.732,00;1,40;;38.380,00;53.732,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3700;391;03/08/2023 00:00;64.568,00;1,40;;46.120,00;64.568,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3697;376;03/08/2023 00:00;56.756,00;1,40;;40.540,00;56.756,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3701;392;03/08/2023 00:00;86.968,00;1,40;;62.120,00;86.968,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3690;364;03/08/2023 00:00;57.442,00;1,40;;41.030,00;57.442,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
197 - EBENEZER COMERCIO DE CEREAIS LTDA;197;3693;369;03/08/2023 00:00;48.748,00;1,40;;34.820,00;48.748,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
210 - SANKHYA JIVA TECNOLOGIA E INOVACAO LTDA;210;12926;388;03/08/2023 00:00;180,00;180,00;;1,00;180,00;SUPORTE TECNICO;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
210 - SANKHYA JIVA TECNOLOGIA E INOVACAO LTDA;210;12927;387;03/08/2023 00:00;360,00;360,00;;1,00;360,00;SUPORTE TECNICO;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
210 - SANKHYA JIVA TECNOLOGIA E INOVACAO LTDA;210;12905;373;03/08/2023 00:00;2.880,00;2.880,00;;1,00;2.880,00;SUPORTE TECNICO;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
230 - SERGIO ANTONIO DOS SANTOS 08145439876;230;20235;358;03/08/2023 00:00;3.365,00;3.365,00;;1,00;3.365,00;SERVIÇO TOMADOS;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
231 - JEFERSON MAX SOUSA;231;20234;359;03/08/2023 00:00;3.000,00;3.000,00;;1,00;3.000,00;SERVIÇO TOMADOS;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
236 - ASSOCIACAO PRESTADORA DE SERVICO A COMUNIDADE IBIAENSE - ASPIA;236;2023138;360;03/08/2023 00:00;500,00;500,00;;1,00;500,00;SERVIÇO TOMADOS;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
238 - 28.574.829 ALEXANDRE DANNEMANN PIRES;238;202374;405;03/08/2023 00:00;1.390,00;1.390,00;;1,00;1.390,00;MARKETING;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
239 - LEANDRO ROBERTO DOS REIS SILVA;239;39954267;406;03/08/2023 00:00;10.320,00;0,75;;13.760,00;10.320,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
239 - LEANDRO ROBERTO DOS REIS SILVA;239;39954202;407;03/08/2023 00:00;37.500,00;0,75;;50.000,00;37.500,00;TRIGO EM GRAOS A GRANEL;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4402;850;04/08/2023 00:00;2.550,00;2.550,00;;1,00;2.550,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4392;594;04/08/2023 00:00;3.000,00;3.000,00;;1,00;3.000,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4401;583;04/08/2023 00:00;4.885,50;4.885,50;;1,00;4.885,50;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4404;584;04/08/2023 00:00;1.125,00;1.125,00;;1,00;1.125,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4403;585;04/08/2023 00:00;5.616,00;5.616,00;;1,00;5.616,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4400;586;04/08/2023 00:00;750,00;750,00;;1,00;750,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4399;587;04/08/2023 00:00;5.616,00;5.616,00;;1,00;5.616,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4398;588;04/08/2023 00:00;5.829,00;5.829,00;;1,00;5.829,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4397;589;04/08/2023 00:00;4.818,00;4.818,00;;1,00;4.818,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
8 - GRAOS DE OURO TRANSPORTES LTDA;8;4396;590;04/08/2023 00:00;2.850,00;2.850,00;;1,00;2.850,00;SERVICO DE TRANSPORTE;OURO INDUSTRIA E COMERCIO DE ALIM LTDA
