====================================================================================================
                             LISTAGEM DE PRODUTOS - CONTROLE DE ESTOQUE                             
                              Fonte: ESTOQUE DE PAPEIS-29-7-26(1).xlsx                              
                                    Gerado em: 31/07/2026 15:58                                     
====================================================================================================

----------------------------------------------------------------------------------------------------
CATEGORIA: FOSCO
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                               GRAM.   FORNECEDOR     LARG(mm)  COMP(m)  SALDO(rolos)
Cetim (6030301) Perolizado                          25        1800
Cetim bege                                          30        3500
Cetim PEROLIZADO                                    35        2050
Cetim PEROLIZADO Beje                               35         900
Cetim PEROLIZADO Beje                               40        1250
Emborrachado (5090251)                              10        2000
Emborrachado (5090251)                              15         720
Emborrachado (5090251)                              20        3100
Emborrachado (5090251)                              25           0
Emborrachado (5090251)                              30         600
Emborrachado (5090251)                              35        2000
Emborrachado (5090251)                              40        3000
Emborrachado (5090251)                              45        2250
Resinado (4010301)                                  10        3000
Resinado (4010301)                                  15        4780
Resinado (4010301)                                  20        1750
Resinado (4010301)                                  25        1900
Resinado (4010301)                                  30        1200
Resinado (4010301)                                  35         800
Resinado (4010301)                                  40        3300
Resinado (4010301)                                  45        1200
Resinado (4010301)                                  50         800
Resinado (4010301)                                  55           0
Resinado inportado ruim                             40           0
Resinado importado normal                           60           0
Resinado importado ruim                             60           0
Resinado verde                                      15           0
Resinado perolizado                                 25           0
Resinado Perolizado                                 30           0
Itens distintos: 35

----------------------------------------------------------------------------------------------------
CATEGORIA: LAMINAÇÃO
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                     FORNECEDOR       LARG(mm)  COMP(m)   SALDO
----------------------------  --------------   -------- --------  ------
LAMINAÇÃO BRILHO              ALTERNATIVA            25     1000       4
LAMINAÇÃO BRILHO              ALTERNATIVA            32     1500       2
LAMINAÇÃO BRILHO              ALTERNATIVA            35     2000       1
LAMINAÇÃO BRILHO              ALTERNATIVA            30     1500       3
LAMINAÇÃO BRILHO              ALTERNATIVA            38     1000       4
LAMINAÇÃO BRILHO              ALTERNATIVA            41     2000       2
LAMINAÇÃO BRILHO              ALTERNATIVA            43     2000       3
LAMINAÇÃO BRILHO              ALTERNATIVA            45     1500       2
LAMINAÇÃO BRILHO              ALTERNATIVA            48     1500       4
LAMINAÇÃO FOSCA               ALTERNATIVA            48     1500       1
LAMINAÇÃO BRILHO              ALTERNATIVA            50     1500       3
LAMINAÇÃO BRILHO              ALTERNATIVA            53     2000       5
LAMINAÇÃO FOSCA               ALTERNATIVA            58     1500       0
LAMINAÇÃO BRILHO              ALTERNATIVA            60     1000       1
LAMINAÇÃO FOSCA               ALTERNATIVA            60     2000       1
LAMINAÇÃO BRILHO              ALTERNATIVA            62     2000       1
LAMINAÇÃO BRILHO              ALTERNATIVA            63     1500       4
LAMINAÇÃO BRILHO              ALTERNATIVA            65     1000       1
LAMINAÇÃO BRILHO              ALTERNATIVA            68     2000       0
LAMINAÇÃO FOSCA               ALTERNATIVA            68     1500       0
LAMINAÇÃO BRILHO              ALTERNATIVA            72     1500       3
LAMINAÇÃO BRILHO              ALTERNATIVA            75     1000       2
LAMINAÇÃO BRILHO              ALTERNATIVA            76     1000       1
LAMINAÇÃO BRILHO              ALTERNATIVA            78     2000       1
LAMINAÇÃO FOSCA               ALTERNATIVA            78      200       1
LAMINAÇÃO BRILHO              ALTERNATIVA            80     2000       7
LAMINAÇÃO BRILHO              ALTERNATIVA            82     2000       2
LAMINAÇÃO BRILHO              ALTERNATIVA            83     1500       5
LAMINAÇÃO BRILHO              ALTERNATIVA            84     2000       0
LAMINAÇÃO BRILHO              ALTERNATIVA            84     1000       0
LAMINAÇÃO FOSCA               ALTERNATIVA            85     1500       3
LAMINAÇÃO BRILHO              ALTERNATIVA            89     1500       4
LAMINAÇÃO BRILHO              ALTERNATIVA            93     1500       3
LAMINAÇÃO BRILHO              ALTERNATIVA            93     2000       0
LAMINAÇÃO BRILHO              ALTERNATIVA            94     2000       5
LAMINAÇÃO FOSCA               ALTERNATIVA            95     1500       0
LAMINAÇÃO BRILHO              ALTERNATIVA            96     1000       3
LAMINAÇÃO BRILHO              ALTERNATIVA            98     2000       0
LAMINAÇÃO BRILHO              ALTERNATIVA           100     2000       3
LAMINAÇÃO BRILHO              ALTERNATIVA           100     2000       0
LAMINAÇÃO BRILHO              ALTERNATIVA           102     1000       1
LAMINAÇÃO BRILHO              ALTERNATIVA           110     1500       0
LAMINAÇÃO BRILHO              ALTERNATIVA           107     1000       2
LAMINAÇÃO BRILHO              ALTERNATIVA           108     2000       4
LAMINAÇÃO FOSCA               ALTERNATIVA           108      700       1
LAMINAÇÃO BRILHO              ALTERNATIVA           110     1500       4
LAMINAÇÃO FOSCA               ALTERNATIVA           110     1500       2
LAMINAÇÃO BRILHO              ALTERNATIVA           112     1000       2
LAMINAÇÃO BRILHO              ALTERNATIVA           118     1500       4
LAMINAÇÃO FOSCA               ALTERNATIVA           118     2000       1
LAMINAÇÃO BRILHO              ALTERNATIVA           122     1000       4
LAMINAÇÃO BRILHO              ALTERNATIVA           123     1524       2
LAMINAÇÃO BRILHO              ALTERNATIVA           125     1524       0
LAMINAÇÃO BRILHO              ALTERNATIVA           128     2000       0
LAMINAÇÃO BRILHO              ALTERNATIVA           128     1500       0
LAMINAÇÃO BRILHO              ALTERNATIVA           134     1500       3
LAMINAÇÃO BRILHO              ALTERNATIVA           137     1000       1
LAMINAÇÃO BRILHO              ALTERNATIVA           138      500       1
LAMINAÇÃO BRILHO              ALTERNATIVA           138     2000       0
LAMINAÇÃO BRILHO              ALTERNATIVA           142     2000       2
LAMINAÇÃO FOSCA               ALTERNATIVA           143     2000       1
LAMINAÇÃO BRILHO              ALTERNATIVA           148     1500       0
LAMINAÇÃO BRILHO              ALTERNATIVA           145     1500       3
LAMINAÇÃO BRILHO              ALTERNATIVA           150     2000       0
LAMINAÇÃO FOSCA               ALTERNATIVA           150     2000       1
LAMINAÇÃO BRILHO              ALTERNATIVA           153     2000       5
LAMINAÇÃO BRILHO              ALTERNATIVA           153     1500       0
LAMINAÇÃO BRILHO              ALTERNATIVA           158     1000       1
LAMINAÇÃO                     ALTERNATIVA            50     2000       0
LAMINAÇÃO                     ALTERNATIVA            65     2000       0
LAMINAÇÃO                     ALTERNATIVA            72     2000       0
LAMINAÇÃO                     ALTERNATIVA            78     2000       0
LAMINAÇÃO                     ALTERNATIVA            83     2000       0
LAMINAÇÃO                     ALTERNATIVA           118     2000       0
LAMINAÇÃO                     ALTERNATIVA           128     2000       0
LAMINAÇÃO                     ALTERNATIVA           137     2000       0
LAMINAÇÃO                     ALTERNATIVA           142     2000       0
LAMINAÇÃO                     ALTERNATIVA             0     2000       0
LAMINAÇÃO                     ALTERNATIVA             0     2000       0
Itens distintos: 79

----------------------------------------------------------------------------------------------------
CATEGORIA: COLD (Hot Stamping)
----------------------------------------------------------------------------------------------------
DESCRIÇÃO            LARG(mm)  METRAGEM(m)   QTDE
------------------   --------  -----------  -----
Ouro                      220         1000      1
Ouro                      210          800      1
Ouro                      150         1000      2
Ouro                      138         1000      1
Ouro                      136         1000      3
Ouro                      120         1000      2
Ouro                       35         1000      2
Ouro                       40         1000      1
Ouro                      110         1000      0
Ouro                      110          700      0
Ouro                      105         1000      1
Ouro                      100         1000      3
Ouro                       71         1000      1
Ouro                      105         1000      2
Ouro                      110         1000      3
Ouro                       50         1000      0
PRATA                     110         1000      1
PRATA                      75         1000      2
PRATA                      55         1000      1
PRATA                      50         1000      1
PRATA                      35         1000      2
PRATA                     110          500      1
Itens distintos: 22

----------------------------------------------------------------------------------------------------
CATEGORIA: TUBETES
----------------------------------------------------------------------------------------------------
MEDIDAS                         SALDO (unid.)
----------------------------    -------------
1" x 2,0 x1,8                               0
1" x 2,0 x 3,9 S/ logo                      0
1" x 2,0 x 3,8 c/ logo                   8040
1" x 2,0 x 3,8 s/ logo                      0
1" x 2,0 x 4,0 c/ logo                      0
1" x 2,0 x 4,0 s/ logo                      0
1" x 2,0 x 4,2 c/ logo                  19656
1" x 2,0 x 5,0 c/ logo                   4590
1" x 2,0 x 5,5 c/ logo                   4590
1" x 2,0 x 5,5 c/ logo                      0
1" x 2,0 x 6,0 c/ logo                   7380
1" x 2,0 x 62 c/ logo                   15990
1" x 2,0 x 62 s/ logo                       0
1" x 2,0 x 70 s/ logo                       0
1" x 2,0 x 80 s/ logo                       0
1" x 2,0 x 80 c/ logo                     800
1" x 2,0 x 90 c/ logo                       0
1" x 2,0 x 90 s/ logo                       0
1" x 2,0 x 100 c/ logo                      0
1" x 2,0 x 102 c/ logo                   2250
1" x 2,0 x 102 s/ logo                      0
1" x 2,0 x 105 C/ logo                   1420
1" x 2,0 x 107 C/ logo                   5680
1" x 2,0 x 107 s/ logo                      0
1 1/2" x 2,0 x 20 c/ logo                   0
1 1/2" x 2,0 x 25 c/ logo                1600
1 1/2" x 2,0 x 80 c/logo                  650
1 1/2" x 2,0 x 80 s/logo                    0
1 1/2" x 2,0 x 102 c/logo                 510
1 1/2" x 2,0 x 102 s/logo                   0
1 1/2" x 2,0 x 108 c/logo                1420
1 1/2" x 2,0 x 100 c/logo                 710
1 1/2" x 2,0 x 118 c/logo                   0
1 1/2" x 2,0 x 118 s/logo                   0
3" x 3,0 x 1.1 s/logo                       0
3" x 3,0 x 1.0 c/logo                    3500
3" x 3,0 x 1.0 s/logo                       0
3" x 3,0 x 20 c/logo                     6160
3" x 3,0 x 25 c/logo                     8800
3" x 3,0 x 25 s/logo                        0
3" x 3,0 x 65 S/logo                    337.5
3" x 3,0 x 80 c/logo                    337.5
3" x 3,0 x 85 c/logo                      675
3" x 3,0 x 85 S/logo                        0
3" x 3,0 x 95 s/logo                   3562.5
3" x 3,0 x 100 c/logo                    1008
3" x 3,0 x 100 s/logo                       0
3" x 3,0 x 102 c/logo                     680
3" x 3,0 x 102 s/logo                       0
3" x 3,0 x 108 c/logo                     160
3" x 3,0 x 108 S/logo                       0
3" x 3,0 x 107 S/logo                       0
3" x 3,0 x 105 c/logo                    1760
3" x 3,0 x 108 S/logo                     320
3" x 3,0 x 108 c/logo                       0
Itens distintos: 55

----------------------------------------------------------------------------------------------------
CATEGORIA: CAIXAS
----------------------------------------------------------------------------------------------------
CAIXA   MEDIDAS              ESTOQUE
------  ----------------    --------
1       200x150x120              325
2       250x200x200              575
3       250x250x200              250
4       400x300x223              670
5       300x300x317              350
6       500x300x300              550
7       460x360x340              540
8       500x400x300              460
9       540x405x335                0
Itens distintos: 9

----------------------------------------------------------------------------------------------------
CATEGORIA: TINTAS
----------------------------------------------------------------------------------------------------
REFERÊNCIA    FORNECEDOR      DESCRIÇÃO                  SALDO
------------  --------------  ----------------------    ------
220AMFP       NATHALGRAPH     PROCESS YELLOW                 0
220BRFP       NATHALGRAPH     BRANCO OPACO                   0
220MGFP       NATHALGRAPH     PROCESS MAGENTA                0
220CYFP       NATHALGRAPH     PROCESS CYAN                   0
              NATHALGRAPH     DILUENTE                       0
              NATHALGRAPH     PANTONE ????                   0
              NATHALGRAPH     VERNIZ                         0
FPF 871                       GOLD 871                       0
FPF007        NATHALGRAPH     BLUE 072                       0
220P1FP       NATHALGRAPH     PROCESS PRETO                  0
GI 22 AZ 103  GRAPHINK        LACA Azul 072                  0
GI MG ST 205; GRAPHINK        Laca Magenta                   0
GI AM ST 200; GRAPHINK        Laca Amarelo                   0
GI PR ST 206; GRAPHINK        Laca Preto                     0
GI BR ST 203  GRAPHINK        Laca Branco                    0
GI VM FP 210  GRAPHINK        Laca Vermelho                  0
Gl AZ ST 201  GRAPHINK        Laca Azul blue                 0
              ACTEGA          BRANCO                         0
AM3555        ACTEGA          YELLOW                         0
VM4555        ACTEGA          MAGENTA                        0
AZ5555        ACTEGA          CYAN                           0
PR9170        ACTEGA          BLACK                          0
AZ7072        ACTEGA          BLUE 072                       0
OR9871/72     ACTEGA          METALIC GOLD                   0
VM4315        ACTEGA          MAGENTA                        0
VM4850        ACTEGA          VERMELHO                       0
WM1001        WINFLEXO        YELLOW                         0
WM2001        WINFLEXO        MAGENTA                        0
WM3001        WINFLEXO        CYAN                           0
WM            WINFLEXO        BLACK                          0
WP40103       WINFLEXO        BLACK INTENSE                  0
              WINFLEXO        BLUE 072                       0
WP0871        WINFLEXO        METALIC GOLD                   0
WUV0004       WINFLEXO        VERNIZ                         0
              WINFLEXO        VERNIZ                         0
WA 300        WINFLEXO        ANTIESPUMANTE                  0
              WINFLEXO        VERNIZ                         0
WF 3030       WINFLEXO        BLUE 072                       0
WF8000        WINFLEXO        BRANCO                         0
WF 1000       WINFLEXO        YELLOW                         0
WF 3000       WINFLEXO        CIAN                           0
WF 2000       WINFLEXO        MAGENTA                        0
WF 4000       WINFLEXO        BLACK                          0
WF20101       WINFLEXO        VERMELHO                       0
Itens distintos: 44

----------------------------------------------------------------------------------------------------
CATEGORIA: DUPLA FACE
----------------------------------------------------------------------------------------------------
REFERÊNCIA    MEDIDAS          QTDE
------------  ------------    -----
4880          100x30              7
52015         460x25              1
52017         460x25              1
Itens distintos: 3

====================================================================================================
TOTAL GERAL DE ITENS LISTADOS: 610
====================================================================================================
