====================================================================================================
                             LISTAGEM DE PRODUTOS - CONTROLE DE ESTOQUE                             
                              Fonte: ESTOQUE DE PAPEIS-29-7-26(1).xlsx                              
                                    Gerado em: 31/07/2026 15:58                                     
====================================================================================================

----------------------------------------------------------------------------------------------------
CATEGORIA: FOSCO
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                               GRAM.   FORNECEDOR     LARG(mm)  COMP(m)  SALDO(rolos)
COUCHE 20G COLACRIL                     20G     COLACRIL            125      500             1
COUCHE 20G COLACRIL                     20G     COLACRIL            125     1500             2
COUCHE 20G COLACRIL                     20G     COLACRIL            130     1000             0
COUCHE 20G COLACRIL                     20G     COLACRIL            130     1500            13
COUCHE 20G COLACRIL                     20G     COLACRIL            145     1500             4
COUCHE 20G COLACRIL                     20G     COLACRIL            180     1500             0
COUCHE 20G COLACRIL                     20G     COLACRIL            195     1500             1
COUCHE 20G COLACRIL                     20G     COLACRIL            210     1000            19
COUCHE 20G FASSON                       20G     FASSON               60     1000             8
COUCHE 20G FASSON                       20G     FASSON               65     1000             3
COUCHE 20G FASSON                       20G     FASSON               65     1500             5
COUCHE 20G FASSON                       20G     FASSON               70     1000             0
COUCHE 20G FASSON                       20G     FASSON               70     1500             5
COUCHE 20G FASSON                       20G     FASSON               75     1000             7
COUCHE 20G FASSON                       20G     FASSON               75     1500             9
COUCHE 20G FASSON                       20G     FASSON               78     1000            11
COUCHE 20G FASSON                       20G     FASSON               80     1000             3
COUCHE 20G FASSON                       20G     FASSON               83     1000             2
COUCHE 20G FASSON                       20G     FASSON               83     1500             7
COUCHE 20G FASSON                       20G     FASSON               85     1000             7
COUCHE 20G FASSON                       20G     FASSON               90     1000             0
COUCHE 20G FASSON                       20G     FASSON               90     1500             2
COUCHE 20G FASSON                       20G     FASSON               95     1000             0
COUCHE 20G FASSON                       20G     FASSON               95     1500             8
COUCHE 20G FASSON                       20G     FASSON               97     1000             5
COUCHE 20G FASSON                       20G     FASSON              100     1000            12
COUCHE 20G FASSON                       20G     FASSON              100     1500             3
COUCHE 20G FASSON                       20G     FASSON              103     1000             8
COUCHE 20G FASSON                       20G     FASSON              105     1000             9
COUCHE 20G FASSON                       20G     FASSON              105     1500             5
COUCHE 20G FASSON                       20G     FASSON              110     1000             0
COUCHE 20G FASSON                       20G     FASSON              115      500             1
COUCHE 20G FASSON                       20G     FASSON              115     1000             3
COUCHE 20G FASSON                       20G     FASSON              115     1500            10
COUCHE 20G FASSON                       20G     FASSON              120      500             1
COUCHE 20G FASSON                       20G     FASSON              120     1000            10
COUCHE 20G FASSON                       20G     FASSON              120     1500             2
COUCHE 20G FASSON                       20G     FASSON              125     1000             6
COUCHE 20G FASSON                       20G     FASSON              125     1500             1
COUCHE 20G FASSON                       20G     FASSON              130     1000             8
COUCHE 20G FASSON                       20G     FASSON              135      600             1
COUCHE 20G FASSON                       20G     FASSON              135     1000             9
COUCHE 20G FASSON                       20G     FASSON              135     1500             4
COUCHE 20G FASSON                       20G     FASSON              138      500             0
COUCHE 20G FASSON                       20G     FASSON              140     1000             3
COUCHE 20G FASSON                       20G     FASSON              140     1500             7
COUCHE 20G FASSON                       20G     FASSON              145      800             0
COUCHE 20G FASSON                       20G     FASSON              145     1000             7
COUCHE 20G FASSON                       20G     FASSON              145     1500             2
COUCHE 20G FASSON                       20G     FASSON              150     1000             2
COUCHE 20G FASSON                       20G     FASSON              150     1500             1
COUCHE 20G FASSON                       20G     FASSON              155      500             1
COUCHE 20G FASSON                       20G     FASSON              155     1000             8
COUCHE 20G FASSON                       20G     FASSON              158      500             1
COUCHE 20G FASSON                       20G     FASSON              158     1000            15
COUCHE 20G FASSON                       20G     FASSON              160     1000             4
COUCHE 20G FASSON                       20G     FASSON              165     1000             2
COUCHE 20G FASSON                       20G     FASSON              165     1500             1
COUCHE 20G FASSON                       20G     FASSON              180     1000             2
COUCHE 20G FASSON                       20G     FASSON              180     1500             7
COUCHE 20G FASSON                       20G     FASSON              185     1500            11
COUCHE 20G FASSON                       20G     FASSON              190     1000             4
COUCHE 20G FASSON                       20G     FASSON              190     1500             2
COUCHE 20G FASSON                       20G     FASSON              195     1000             1
COUCHE 20G FASSON                       20G     FASSON              195     1500             2
COUCHE 20G FASSON                       20G     FASSON              196     1000             1
COUCHE 20G FASSON                       20G     FASSON              200     1000             3
COUCHE 20G FASSON                       20G     FASSON              210     1000            29
COUCHE 20G FASSON                       20G     FASSON              215     1000             1
COUCHE 20G FASSON                       20G     FASSON              220     1000             0
COUCHE 20G FASSON                       20G     FASSON              225      700             1
COUCHE 20G FASSON                       20G     FASSON              225     1000             0
COUCHE 20G FASSON                       20G     FASSON              250     1000            18
COUCHE 20G FASSON                       20G     FASSON              300      300             1
COUCHE 20G VERTEX                       20G     VERTEX              333      500             1
COUCHE 30G VERTEX                       30G     VERTEX               60     1000             2
COUCHE 30G VERTEX                       30G     VERTEX               65     1000             3
COUCHE 30G VERTEX                       30G     VERTEX               70     1000             3
COUCHE 30G VERTEX                       30G     VERTEX               80     1000             0
COUCHE 30G VERTEX                       30G     VERTEX               95     1000             0
COUCHE 30G VERTEX                       30G     VERTEX              105     1000            13
COUCHE 30G VERTEX                       30G     VERTEX              110     1000             4
COUCHE 30G VERTEX                       30G     VERTEX              110     1500             1
COUCHE 30G VERTEX                       30G     VERTEX              120     1000             1
COUCHE 30G VERTEX                       30G     VERTEX              180      500             1
COUCHE 30G VERTEX                       30G     VERTEX              180     1000             2
COUCHE 30G VERTEX                       30G     VERTEX              210     1000             5
RITRAMA                                 20G     RITRAMA              95     1000             2
RITRAMA                                 20G     RITRAMA             120     1000             1
                                                                          TOTAL:           426
Itens distintos: 99

----------------------------------------------------------------------------------------------------
CATEGORIA: TÉRMICO
----------------------------------------------------------------------------------------------------
DESCRIÇÃO                               GRAM.   FORNECEDOR     LARG(mm)  COMP(m)  SALDO(rolos)
--------------------------------------  ------  ------------   -------- -------- -------------
