ANOOBRA;DATAFIMOBRA;DATAINICIOOBRA;DOCUMENTOLICITACAO;DOCUMENTOOBRA;EMPRESA;OBRA;PERCENTUALCONCLUIDO;SITUACAO;VALORTOTALGASTO;VALORTOTALOBRA
2025;2026-04-20;2025-05-20;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PD%20146/2025;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13283;TRIUM CONSTRUTORA LTDA;CONTRATAÇÃO DO REMANESCENTE DA OBRA DE CONSTRUÇÃO DA ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFª MARIA JOSÉ MAMEDE MOREIRA. LOCALIZAÇÃO: RUA DO GARÇON, Nº 101, BAIRRO SÃO JORGE / VALOR GLOBAL DO REMANESCENTE COM REAJUSTE: R$2.009.717,59"
;84.0%;Iniciada;1902318.43;2263639.11
2025;2025-10-16;2025-06-16;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PD%20182/2025;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13564;A2M TANK LTDA;Contratação emergencial por Dispensa de Licitação  ""Sistema ETE - Fossa Séptica"" na escola municipal de ensino fundamental Profª Maria Regina Arantes Lemes, localização: BR 497 - km 26 - Fazenda São José valor global ;94.7%;Iniciada;472182.54;498659.62
2025;;;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=CP%20264/2025;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13863;SANIOTO CONSTRUCOES LTDA;Execução de obras de drenagem na Rua Rafael Marino Neto, entre a Avenida Nicomedes Alves dos Santos e Alameda Paulínia Margonari em Uberlândia -MG."
;100.0%;Iniciada;649995.67;649995.67
2025;2026-05-07;2026-01-08;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=CP%20158/2025;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13587;SIGMA ENGENHARIA E CONSTRUCAO LTDA - EPP;EXECUÇÃO DE OBRAS DE INFRAESTRUTURA PARA AMPLIAÇÃO E REFORMA DO ESTACIONAMENTO NO PARQUE DO SABIÁ,  LOCALIZADO NA AVENIDA ANSELMO ALVES DOS SANTOS, BAIRRO TIBERY  EM UBERLÂNDIA-MG,  EM UBERLÂNDIA-MG.;209.2%;Iniciada;1934632.56;924802.48
2025;2026-12-31;2025-08-19;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PE%20172/2024;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=14183;BT CONSTRUCOES LTDA.;EXECUÇÃO DE SERVIÇOS DE TAPA BURACOS COM DEMOLIÇÃO, FABRICAÇÃO, TRANSPORTE E APLICAÇÃO DE CBUQ COM BANHO DE LIGAÇÃO, BOTA-FORA DE RESÍDUOS E DMT=20,0 KM -  INCLUSIVE TAXAS DE DEPOSIÇÃO. Requisições 37327 e 37331/2025.;50.0%;Iniciada;7499402.16;15000008.48
2025;2027-01-03;2025-11-03;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=CP%20304/2025;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13688;SIGMA ENGENHARIA E CONSTRUCAO LTDA - EPP;Obra de construção da Escola de Tempo Integral - Ensino Fundamental do Bairro Luizote IV - 13 salas, localizada em Avenida 1 e 2-A - Loteamento Luizote IV. ;6.2%;Iniciada;697917.24;11212489.89
2025;2026-06-21;2025-03-21;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PE%20172/2024;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13483;BT CONSTRUCOES LTDA.;Serviço de pavimentação asfáltica referente a contratação de empresa de engenharia especializada e qualificada, como profissionais habilitados para execução de tapa buracos, recomposição asfáltica, restauração de pavimentos visando a manutenção de vias urbanas em Uberlândia-MG.;51.5%;Iniciada;7066775.04;13711105.00
2025;2026-12-31;2025-04-16;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PE%20172/2024;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13585;BT CONSTRUCOES LTDA.;Serviço pavimentação asfáltica referente a contratação de empresa de engenharia especializada e qualificada, com profissionais habilitados, para execução de tapa buracos, recomposição asfáltica, restauração de pavimentos, visando a manutenção de vias urbanas na cidade de Uberlândia- MG. Requisição nº 20107/2025.;35.2%;Iniciada;1269851.01;3606774.51
2025;2026-09-25;2025-06-25;http://weblicitacoes.uberlandia.mg.gov.br/weblicitacoes/f/n/licitacoesdetalhescon?modoJanelaPlc=popup&evento=y&codigoEmpresa=1&licitacao=PE%20172/2024;http://webobras.uberlandia.mg.gov.br/webobras/f/n/consultaobrasmdt?chPlc=13943;BT CONSTRUCOES LTDA.;Serviços de pavimentação asfáltica, referente à contratação de empresa de engenharia especializada e qualificada, como profissionais habilitados, para execução de Tapa Buracos, recomposição asfáltica, restauração de pavimentos visando a manutenção de vias urbanas na cidade de Uberlândia -MG.;40.0%;Iniciada;3999934.70;9999985.78
